				Presencia/Ausencia en Biomas									
FAMILIA	GÉNERO	ESPECIE	nombre científico (género + especie)	I	II	II-III	III	IV	V	VI	VII	VIII	IX
Trionychidae	Amyda	cartilaginea	Amyda cartilaginea	1	1	0	0	0	0	0	0	0	0
Trionychidae	Amyda	ornata	Amyda ornata	1	1	0	0	0	0	0	0	0	0
Trionychidae	Nilssonia	gangetica	Nilssonia gangetica	1	0	0	0	0	0	0	0	0	0
Trionychidae	Nilssonia	formosa	Nilssonia formosa	1	1	0	0	0	0	0	0	0	0
Trionychidae	Nilssonia	hurum	Nilssonia hurum	1	1	1	0	0	0	0	0	0	0
Trionychidae	Nilssonia	leithii	Nilssonia leithii	0	1	0	0	0	0	0	0	0	0
Trionychidae	Nilssonia	nigricans	Nilssonia nigricans	0	0	1	0	0	0	0	0	0	0
Dermochelyidae	Dermochelys	coriacea	Dermochelys coriacea	1	1	0	0	0	0	0	0	0	0
Cheloniidae	Chelonia	mydas	Chelonia mydas	1	1	0	0	0	0	0	0	0	0
Cheloniidae	Eretmocelys	imbricata	Eretmocelys imbricata	1	1	0	0	0	0	0	0	0	0
Cheloniidae	Caretta	caretta	Caretta caretta	0	0	1	1	1	1	0	0	0	0
Cheloniidae	Lepidochelys	olivacea	Lepidochelys olivacea	1	1	0	0	0	0	0	0	0	0
Cheloniidae	Lepidochelys	kempii	Lepidochelys kempii	0	1	0	0	0	0	0	0	0	0
Cheloniidae	Natator	depressus	Natator depressus	0	1	1	0	0	0	0	0	0	0
Chelydridae	Macrochelys	temminckii	Macrochelys temminckii	0	0	0	0	0	1	1	0	0	0
Chelydridae	Macrochelys	suwanniensis 	Macrochelys suwanniensis	0	0	0	0	0	1	0	0	0	0
Chelydridae	Chelydra	serpentina	Chelydra serpentina	0	1	0	0	0	1	1	1	0	0
Chelydridae	Chelydra	acutirostris	Chelydra acutirostris	1	0	0	0	0	0	0	0	0	0
Chelydridae	Chelydra	rossignonii	Chelydra rossignonii	1	0	0	0	0	0	0	0	0	0
Dermatemydidae	Dermatemys	mawii	Dermatemys mawii	1	0	0	0	0	0	0	0	0	0
Kinosternidae	Claudius	angustatus	Claudius angustatus	1	0	0	0	0	0	0	0	0	0
Kinosternidae	Staurotypus	triporcatus	Staurotypus triporcatus	1	0	0	0	0	0	0	0	0	0
Kinosternidae	Staurotypus	salvinii	Staurotypus salvinii	0	1	0	0	0	0	0	0	0	0
Kinosternidae	Sternotherus	carinatus	Sternotherus carinatus	0	0	0	0	0	1	1	0	0	0
Kinosternidae	Sternotherus	odoratus	Sternotherus odoratus	0	1	0	0	0	1	1	0	0	0
Kinosternidae	Sternotherus	intermedius	Sternotherus intermedius	0	0	0	0	0	1	0	0	0	0
Kinosternidae	Sternotherus	depressus	Sternotherus depressus	0	0	0	0	0	0	1	0	0	0
Kinosternidae	Sternotherus	minor	Sternotherus minor	0	0	0	0	0	1	1	0	0	0
Kinosternidae	Sternotherus	peltifer	Sternotherus peltifer	0	0	0	0	0	1	1	0	0	0
Kinosternidae	Kinosternon	baurii	Kinosternon baurii	0	1	0	0	0	1	1	0	0	0
Kinosternidae	Kinosternon	subrubrum	Kinosternon subrubrum	0	1	0	0	0	1	1	0	0	0
Kinosternidae	Kinosternon	flavescens	Kinosternon flavescens	0	1	1	1	0	0	1	1	0	0
Kinosternidae	Kinosternon	arizonense	Kinosternon arizonense	0	0	1	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	durangoense	Kinosternon durangoense	0	0	1	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	dunni	Kinosternon dunni	1	0	0	0	0	0	0	0	0	0
Kinosternidae	Kinosternon	leucostomum	Kinosternon leucostomum	1	1	0	0	0	0	0	0	0	0
